DateTime;Parking Granollers Renfe plazas totales
19/01/2020 23:30;166,5656
20/01/2020 0:00;167,0735511
20/01/2020 0:30;167,5684
20/01/2020 1:00;167,5684
20/01/2020 1:30;167,5684
20/01/2020 2:00;167,5684
20/01/2020 2:30;167,5684
20/01/2020 3:00;167,5684
20/01/2020 3:30;167,5684
20/01/2020 4:00;167,5402673
20/01/2020 4:30;165,0340838
20/01/2020 5:00;164,5768
20/01/2020 5:30;162,7741754
20/01/2020 6:00;158,1697108
20/01/2020 6:30;144,1856187
20/01/2020 7:00;124,4183839
20/01/2020 7:30;96,73009876
20/01/2020 8:00;79,98400294
20/01/2020 8:30;67,74861348
20/01/2020 9:00;55,51250391
20/01/2020 9:30;51,61550614
20/01/2020 10:00;49,90829642
20/01/2020 10:30;48,09393368
